1989;;;Colocações finais;;1990;;;;;1991;;;;;1992;;;;;1993;;;;;1994;;;;;;;;;
 São Paulo;São Paulo;Campeão do Estadual 2021;;;;;;;;;; São Paulo;Red Bull Bragantino;4º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Mirassol;4º colocado do Estadual 2021;;;;;;;;;;;Ituano;5.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Ferroviária;6º colocado do Estadual 2021;;;;;;;;;;;São Bernardo;6.º colocado do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Novorizontino;Campeão do Troféu do Interior de 2021;;;;;;;;;;;Botafogo-SP;Vice-campeão do Troféu do Interior de 2022;;;;;;;;;;;;;;;;;;;;
;Botafogo-SP;Vice-campeão da Copa Paulista 2021;;;;;;;;;;;Marília;Vice-campeão da Copa Paulista 2022;;;;;;;;;;;;;;;;;;;;
 Sergipe;Sergipe;Campeão do Estadual 2021;;;;;;;;;; Sergipe;Sergipe;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;Lagarto;Vice-campeão do Estadual 2021;;;;;;;;;;;Falcon;Vice-campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
 Tocantins;Tocantinópolis;Campeão do Estadual 2021;;;;;;;;;; Tocantins;Tocantinópolis;Campeão do Estadual 2022;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;;;;;;;;;2025;;;;;;;;;;;;;;;;;;;;;;;;;
Estado;Clube;Forma de Entrada;Estado;Clube;Forma de classificação;Colocações finais;;;Estado;Clube;Forma de classificação;Estado;Clube;Forma de classificação;Colocações finais;;;;;;;;;;;;;;;;;;;
 Acre;Rio Branco-AC;Campeão do Estadual 2023; Bahia;Vitória;Campeão da Série B de 2023;Campeão;Flamengo (5.º título);; Acre;Independência;Campeão do Estadual 2024; Alagoas;CRB;Vice-campeão da Copa do Nordeste 2024;Campeão;Corinthians (4.º título);;;;;;;;;;;;;;;;;;
;Humaitá;Vice-campeão do Estadual 2023; Ceará;Ceará;Campeão da Copa do Nordeste 2023;Vice-campeão;Atlético Mineiro;;;Humaitá;Vice-campeão do Estadual 2024; Bahia;Bahia;8.º colocado do Campeonato Brasileiro 2024;Vice-campeão;Vasco da Gama;;;;;;;;;;;;;;;;;;
 Alagoas;CRB;Campeão do Estadual 2023; Goiás;Goiás;Campeão da Copa Verde 2023;Estatísticas;;; Alagoas;ASA;Vice-campeão do Estadual 2024; Ceará;Fortaleza;4.º colocado do Campeonato Brasileiro 2024;Estatísticas;;;;;;;;;;;;;;;;;;;
;ASA;Vice-campeão do Estadual 2023; Minas Gerais;Atlético Mineiro;3.º colocado do Campeonato Brasileiro 2023;Melhor marcador;Pablo Vegetti (Vasco da Gama) – 7 gols;;;CSE;3.º colocado do Estadual 2024; Minas Gerais;Cruzeiro;9.º colocado do Campeonato Brasileiro 2024;Melhor marcador;5 gols:;;;;;;;;;;;;;;;;;;
;Murici;Vencedor da seletiva para a Copa do Brasil; Paraná;Athletico Paranaense;8.º colocado do Campeonato Brasileiro 2023;Maior goleada;Itabuna 0–8 Nova Iguaçu;;;CSA;Vencedor da Seletiva para a Copa do Brasil; Pará;Paysandu;Campeão da Copa Verde 2024;;Kaio Jorge (Cruzeiro);;;;;;;;;;;;;;;;;;
 Amapá;Trem;Campeão do Estadual 2023; Rio de Janeiro;Botafogo;5.º colocado do Campeonato Brasileiro 2023;(diferença);;; Amapá;Trem;Campeão do Estadual 2024; Rio de Janeiro;Botafogo;Campeão da Copa Libertadores 2024;;Rayan (Vasco da Gama);;;;;;;;;;;;;;;;;;
;Independente-AP;Vice-campeão do Estadual 2023;;Flamengo;4.º colocado do Campeonato Brasileiro 2023;;;;;Oratório;Vice-campeão do Estadual 2024;;Flamengo;Campeão da Copa do Brasil 2024;Maior goleada;Águia de Marabá 0–8 Fluminense;;;;;;;;;;;;;;;;;;
 Amazonas;Amazonas;Campeão do Estadual 2023;;Fluminense;Campeão da Copa Libertadores 2023;;;; Amazonas;Manaus;Campeão do Estadual 2024; Rio Grande do Sul;Internacional;5.º colocado do Campeonato Brasileiro 2024;(diferença);Estádio Mangueirão, Belém;;;;;;;;;;;;;;;;;;
;Manauara;Vice-campeão do Estadual 2023; Rio Grande do Sul;Grêmio;Vice-campeão do Campeonato Brasileiro 2023;;;;;Amazonas;Vice-campeão do Estadual 2024; São Paulo;Corinthians;7.º colocado do Campeonato Brasileiro 2024;;26 de fevereiro, 1.ª fase;;;;;;;;;;;;;;;;;;
 Bahia;Bahia;Campeão do Estadual 2023; São Paulo;Palmeiras;Campeão do Campeonato Brasileiro 2023;;;; Bahia;Vitória;Campeão do Estadual 2024;;Palmeiras;Vice-campeão do Campeonato Brasileiro 2024;Público;1 841 394 (15 473,9 por partida);;;;;;;;;;;;;;;;;;
;Jacuipense;Vice-campeão do Estadual 2023;;Red Bull Bragantino;6.º colocado do Campeonato Brasileiro 2023;;;;;Barcelona de Ilhéus;3.º colocado do Estadual 2024;;Santos;Campeão da Série B 2024;Premiações;;;;;;;;;;;;;;;;;;;
;Itabuna;3.º colocado do Estadual 2023;;São Paulo;Campeão da Copa do Brasil 2023;;;;;Jequié;4.º colocado do Estadual 2024;;São Paulo;6.º colocado do Campeonato Brasileiro 2024;Melhor jogador;Hugo Souza (Corinthians);;;;;;;;;;;;;;;;;;
 Ceará;Fortaleza;Campeão do Estadual 2023;;;;;;; Ceará;Ceará;Campeão do Estadual 2024;;;;(CBF);;;;;;;;;;;;;;;;;;;
;Iguatu;3.º colocado do Estadual 2023;;;;;;;;Maracanã-CE;3.º colocado do Estadual 2024;;;;Melhor goleiro;Hugo Souza (Corinthians);;;;;;;;;;;;;;;;;;
;Ferroviário;Vice-campeão da Copa Fares Lopes de 2023;;;;;;;;Ferroviário;Campeão da Copa Fares Lopes de 2024;;;;Melhor treinador;Dorival Júnior (Corinthians);;;;;;;;;;;;;;;;;;
 Distrito Federal;Real Brasília;Campeão do Metropolitano 2023;;;;;;; Distrito Federal;Ceilândia;Campeão do Metropolitano 2024;;;;;;;;;;;;;;;;;;;;;;;
;Brasiliense;Vice-campeão do Metropolitano 2023;;;;;;;;Capital-DF;Vice-campeão do Metropolitano 2024;;;;;;;;;;;;;;;;;;;;;;;
 Espírito Santo;Real Noroeste;Campeão do Estadual 2023;;;;;;; Espírito Santo;Rio Branco-ES;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Nova Venécia;Vice-campeão do Estadual 2023;;;;;;;;Rio Branco VN;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Goiás;Atlético Goianiense;Campeão do Estadual 2023;;;;;;; Goiás;Atlético Goianiense;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Aparecidense;3.º colocado do Estadual 2023;;;;;;;;Vila Nova;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Anápolis;4.º colocado do Estadual 2023;;;;;;;;Aparecidense;3.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Maranhão;Maranhão;Campeão do Estadual 2023;;;;;;; Maranhão;Sampaio Corrêa;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Moto Club;Vice-campeão do Estadual 2023;;;;;;;;Maranhão;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Sampaio Corrêa;3.º colocado do Estadual 2023;;;;;;; Mato Grosso;Cuiabá;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Mato Grosso;Cuiabá;Campeão do Estadual 2023;;;;;;;;União Rondonópolis;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;União Rondonópolis;Vice-campeão do Estadual 2023;;;;;;;;Operário VG;Campeão da Copa FMF 2024;;;;;;;;;;;;;;;;;;;;;;;
;Operário VG;3.º colocado da Copa FMF de 2023;;;;;;; Mato Grosso do Sul;Operário-MS;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Mato Grosso do Sul;Costa Rica;Campeão do Estadual 2023;;;;;;;;Dourados;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Operário-MS;Vice-campeão do Estadual 2023;;;;;;; Minas Gerais;Atlético Mineiro;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Minas Gerais;América Mineiro;Vice-campeão do Estadual 2023;;;;;;;;América Mineiro;3.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Athletic;3.º colocado do Estadual 2023;;;;;;;;Tombense;4.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Cruzeiro;4.º colocado do Estadual 2023;;;;;;;;Athletic;5.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Villa Nova;5.º colocado do Estadual 2023;;;;;;;;Pouso Alegre;6.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Tombense;Campeão do Troféu Incofidência;;;;;;; Pará;Remo;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Pará;Águia de Marabá;Campeão do Estadual 2023;;;;;;;;Águia de Marabá[8];4.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Remo;Vice-campeão do Estadual 2023;;;;;;;;Tuna Luso;Campeão da Copa Grão-Pará 2024;;;;;;;;;;;;;;;;;;;;;;;
;Paysandu;3.º colocado do Estadual 2023;;;;;;; Paraíba;Sousa;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Paraíba;Treze;Campeão do Estadual 2023;;;;;;;;Botafogo-PB;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Sousa;Vice-campeão do Estadual 2023;;;;;;; Paraná;Athletico Paranaense;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Paraná;FC Cascavel;Vice-campeão do Estadual 2023;;;;;;;;Maringá;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Operário-PR;3.º colocado do Estadual 2023;;;;;;;;Coritiba;3.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Maringá;4.º colocado do Estadual 2023;;;;;;;;Operário-PR;4.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Coritiba;5.º colocado do Estadual 2023;;;;;;;;FC Cascavel;5.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Cianorte;6.º colocado do Estadual 2023;;;;;;; Pernambuco;Sport;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Pernambuco;Sport;Campeão do Estadual 2023;;;;;;;;Náutico;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Retrô;Vice-campeão do Estadual 2023;;;;;;;;Retrô;3.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Petrolina;3.º colocado do Estadual 2023;;;;;;; Piauí;Altos;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Piauí;River-PI;Campeão do Estadual 2023;;;;;;;;Parnahyba;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Fluminense-PI;Vice-campeão do Estadual 2023;;;;;;; Rio de Janeiro;Nova Iguaçu;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Rio de Janeiro;Vasco da Gama;3.º colocado do Estadual 2023;;;;;;;;Vasco da Gama;3.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Volta Redonda;4.º colocado do Estadual 2023;;;;;;;;Fluminense;4.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Audax Rio;6.º colocado do Estadual 2023;;;;;;;;Boavista-RJ;6.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Nova Iguaçu;7.º colocado do Estadual 2023;;;;;;;;Portuguesa-RJ;7.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Portuguesa-RJ;8.º colocado do Estadual 2023;;;;;;;;Olaria;Vice-campeão da Copa Rio 2024;;;;;;;;;;;;;;;;;;;;;;;
;Olaria;Vice-campeão da Copa Rio de 2023;;;;;;; Rio Grande do Norte;América de Natal;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Rio Grande do Norte;América de Natal;Campeão do Estadual 2023;;;;;;;;Santa Cruz de Natal;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;ABC;Vice-campeão do Estadual 2023;;;;;;;;ABC;3.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Rio Grande do Sul;Caxias;Vice-campeão do Estadual 2023;;;;;;; Rio Grande do Sul;Grêmio;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Internacional;3.º colocado do Estadual 2023;;;;;;;;Juventude;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Ypiranga de Erechim;4.º colocado do Estadual 2023;;;;;;;;Caxias;4.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Juventude;5.º colocado do Estadual 2023;;;;;;;;Guarany de Bagé;5.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;São Luiz;Campeão da Copa FGF 2023;;;;;;;;São José-RS;Campeão da Copa FGF 2024;;;;;;;;;;;;;;;;;;;;;;;
 Rondônia;Porto Velho;Campeão do Estadual 2023;;;;;;; Rondônia;Gazin Porto Velho;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Ji-Paraná;Vice-campeão do Estadual 2023;;;;;;;;Barcelona-RO;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Roraima;São Raimundo-RR;Campeão do Estadual 2023;;;;;;; Roraima;GAS;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;GAS;Vice-campeão do Estadual 2023;;;;;;;;São Raimundo-RR;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Santa Catarina;Criciúma;Campeão do Estadual 2023;;;;;;; Santa Catarina;Criciúma;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Brusque;Vice-campeão do Estadual 2023;;;;;;;;Brusque;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Marcílio Dias;Campeão da Copa Santa Catarina 2023;;;;;;;;Concórdia;Campeão da Copa Santa Catarina de 2024;;;;;;;;;;;;;;;;;;;;;;;
 São Paulo;Água Santa;Vice-campeão do Estadual 2023;;;;;;; São Paulo;Red Bull Bragantino;3.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Ituano;4.º colocado do Estadual 2023;;;;;;;;Novorizontino;4.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;São Bernardo;5.º colocado do Estadual 2023;;;;;;;;Inter de Limeira;6.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Corinthians;7.º colocado do Estadual 2023;;;;;;;;Ponte Preta;7.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Botafogo-SP;8.º colocado do Estadual 2023;;;;;;;;Portuguesa;8.º colocado do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Portuguesa Santista;Campeão da Copa Paulista 2023;;;;;;;;Votuporanguense;Vice-campeão da Copa Paulista de 2024;;;;;;;;;;;;;;;;;;;;;;;
 Sergipe;Itabaiana;Campeão do Estadual 2023;;;;;;; Sergipe;Confiança;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Confiança;Vice-campeão do Estadual 2023;;;;;;;;Sergipe;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
 Tocantins;Tocantinópolis;Campeão do Estadual 2023;;;;;;; Tocantins;União-TO;Campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
;Capital-TO;Vice-campeão do Estadual 2023;;;;;;;;Tocantinópolis;Vice-campeão do Estadual 2024;;;;;;;;;;;;;;;;;;;;;;;
